,A.RTL1,A.RTL2,A.RTL3,A.RTL4,A.FLIP1,A.FLIP2,A.FLIP3,A.FLIPGeneral,A.ALT_HOLD1,A.ALT_HOLD2,A.CIRCLE1,A.CIRCLE2,A.CIRCLE3,A.CIRCLE4,A.CIRCLE5,A.CIRCLE6,A.CIRCLE7,A.LAND1,A.LAND2,A.AUTO1,A.BRAKE1,A.DRIFT1,A.LOITER1,A.GUIDED1,A.SPORT1,A.RC.FS1,A.RC.FS2,A.CHUTE1,A.GPS.FS1,A.GPS.FS2
754,"('CAN_D2_PROTOCOL', 0.0)","('OSD5_PARAM6_Y', 4.213199433444892e-06)","('OSD4_PITCH_X', 4.521810467728038e-06)","('OSD2_ALTITUDE_X', 2.1407800625539153e-05)","('BATT7_ARM_MAH', 0.0)","('BATT9_FL_PIN', 0.0)","('BATT9_CURR_MULT', 0.0)","('BATT_FL_VLT_MIN', 0.0)","('BATT_AMP_PERVLT', 0.0)","('BRD_PWM_VOLT_SEL', 0.0)","('BRD_HEAT_TARG', 0.0)","('CAN_D3_UC_SRV_RT', 0.0)","('CAM_DURATION', 0.0)","('CAM_AUTO_ONLY', 0.0)","('CAN_D1_PC_SRV_BM', 0.0)","('CAN_D1_UC_SRV_RT', 0.0)","('BATT8_FS_CRT_ACT', 0.0)","('ATC_ANG_LIM_TC', 0.0)","('ATC_ANG_LIM_TC', 0.0)","('BRD_RADIO_TXMAX', 0.0)","('BRD_RADIO_PROT', 0.0)","('ATC_RAT_RLL_SMAX', 0.0)","('CAM_RC_FEATURES', 0.0)","('BRD_RADIO_ABTIME', 0.0)","('BATT4_LOW_TIMER', 0.0)","('LAND_SPEED', 0.0)","('SYSID_MYGCS', 0.0)","('CAN_D3_TST_ID', 7.349304443238225e-06)","('BATT2_VOLT_PIN', 0.0)","('ADSB_TYPE', 0.0)"
755,"('CAN_D2_KDE_NPOLE', 0.0)","('OSD5_PARAM7_Y', 4.213199433444892e-06)","('OSD4_TEMP_X', 4.521810467728038e-06)","('OSD2_BAT_VOLT_X', 2.1407800625539153e-05)","('BATT7_OPTIONS', 0.0)","('BATT_CAPACITY', 0.0)","('BATT9_FL_VLT_MIN', 0.0)","('BATT_FL_V_MULT', 0.0)","('BATT_AMP_OFFSET', 0.0)","('BRD_OPTIONS', 0.0)","('BRD_IO_ENABLE', 0.0)","('CAN_D3_UC_OPTION', 0.0)","('CAM_SERVO_ON', 0.0)","('CAM_TYPE', 0.0)","('CAN_D1_PC_SRV_RT', 0.0)","('CAN_D1_UC_OPTION', 0.0)","('BATT8_ARM_VOLT', 0.0)","('ATC_RATE_R_MAX', 0.0)","('ATC_RATE_R_MAX', 0.0)","('BRD_RADIO_BZOFS', 0.0)","('BRD_RADIO_DEBUG', 0.0)","('ATC_RAT_PIT_P', 0.0)","('CAM_RC_BT_DELAY', 0.0)","('BRD_RADIO_ABLVL', 0.0)","('BATT4_FS_VOLTSRC', 0.0)","('LAND_SPEED_HIGH', 0.0)","('TELEM_DELAY', 0.0)","('AROT_HS_P', 7.3405542633242504e-06)","('BATT2_CURR_PIN', 0.0)","('ADSB_LIST_MAX', 0.0)"
756,"('CAN_D2_PC_ESC_BM', 0.0)","('OSD5_PARAM8_Y', 4.213199433444892e-06)","('OSD4_HDOP_X', 4.521810467728038e-06)","('OSD2_RSSI_X', 2.1407800625539153e-05)","('BATT7_VOLT_PIN', 0.0)","('BATT_SERIAL_NUM', 0.0)","('BATT9_FL_V_MULT', 0.0)","('BATT_FL_FLTR', 0.0)","('BATT_VLT_OFFSET', 0.0)","('BRD_BOOT_DELAY', 0.0)","('BRD_SAFETYOPTION', 0.0)","('CAN_D3_UC_NTF_RT', 0.0)","('CAM_SERVO_OFF', 0.0)","('CAM_RC_TYPE', 0.0)","('CAN_D1_TST_ID', 0.0)","('CAN_D1_UC_NTF_RT', 0.0)","('BATT8_ARM_MAH', 0.0)","('ATC_RATE_P_MAX', 0.0)","('ATC_RATE_P_MAX', 0.0)","('BRD_RADIO_ABTIME', 0.0)","('BRD_RADIO_DISCRC', 0.0)","('ATC_RAT_PIT_I', 0.0)","('CAM_RC_BTN_DELAY', 0.0)","('BRD_RTC_TYPES', 0.0)","('BATT4_ARM_VOLT', 0.0)","('PILOT_SPEED_UP', 0.0)","('GCS_PID_MASK', 0.0)","('PILOT_SPEED_DN', 7.309220660722815e-06)","('BATT2_VOLT_MULT', 0.0)","('ADSB_LEN_WIDTH', 0.0)"
757,"('CAN_D2_PC_ESC_RT', 0.0)","('OSD5_PARAM9_Y', 4.213199433444892e-06)","('OSD4_WAYPOINT_X', 4.521810467728038e-06)","('OSD2_CURRENT_X', 2.1407800625539153e-05)","('BATT7_VOLT_MULT', 0.0)","('BATT_LOW_TIMER', 0.0)","('BATT9_FL_FLTR', 0.0)","('BATT_FL_PIN', 0.0)","('BATT_I2C_BUS', 0.0)","('BRD_HEAT_P', 0.0)","('BRD_VBUS_MIN', 0.0)","('CAN_D3_UC_ESC_OF', 0.0)","('CAM_TRIGG_DIST', 0.0)","('CAM_RC_FEATURES', 0.0)","('CAN_D1_TST_LPR8', 0.0)","('CAN_D1_UC_ESC_OF', 0.0)","('BATT8_VOLT_PIN', 0.0)","('ATC_RATE_Y_MAX', 0.0)","('ATC_RATE_Y_MAX', 0.0)","('BRD_RADIO_ABLVL', 0.0)","('BRD_RADIO_SIGCH', 0.0)","('ATC_RAT_PIT_IMAX', 0.0)","('CAM_RC_MDE_DELAY', 0.0)","('BRD_RTC_TZ_MIN', 0.0)","('BATT4_OPTIONS', 0.0)","('PILOT_ACCEL_Z', 0.0)","('RTL_CONE_SLOPE', 0.0)","('RCMAP_PITCH', 7.3053266732570066e-06)","('BATT2_AMP_OFFSET', 0.0)","('ADSB_RF_SELECT', 0.0)"
758,"('CAN_D2_PC_SRV_BM', 0.0)","('OSD6_PARAM1_Y', 4.213199433444892e-06)","('OSD4_XTRACK_X', 4.521810467728038e-06)","('OSD2_BATUSED_X', 2.1407800625539153e-05)","('BATT7_VLT_OFFSET', 0.0)","('BATT_FS_VOLTSRC', 0.0)","('BATT9_FL_PIN', 0.0)","('BCN_TYPE', 0.0)","('BATT_I2C_ADDR', 0.0)","('BRD_HEAT_I', 0.0)","('BRD_VSERVO_MIN', 0.0)","('CAN_D3_UC_POOL', 0.0)","('CAM_RELAY_ON', 0.0)","('CAM_RC_BT_DELAY', 0.0)","('CAN_D1_UC_NODE', 0.0)","('CAN_D1_UC_POOL', 0.0)","('BATT8_CURR_PIN', 0.0)","('ATC_INPUT_TC', 0.0)","('ATC_INPUT_TC', 0.0)","('BRD_RTC_TYPES', 0.0)","('BRD_RADIO_PPSCH', 0.0)","('ATC_RAT_PIT_D', 0.0)","('CAM_RC_CONTROL', 0.0)","('BTN_ENABLE', 0.0)","('BATT4_VOLT_PIN', 0.0)","('LOG_BITMASK', 0.0)","('RTL_SPEED', 0.0)","('RCMAP_THROTTLE', 7.304585714074108e-06)","('BATT2_VLT_OFFSET', 0.0)","('ADSB_RF_CAPABLE', 0.0)"
759,"('CAN_D2_PC_SRV_RT', 0.0)","('OSD6_PARAM2_Y', 4.213199433444892e-06)","('OSD4_DIST_X', 4.521810467728038e-06)","('OSD2_SATS_X', 2.1407800625539153e-05)","('BATT7_I2C_BUS', 0.0)","('BATT_LOW_VOLT', 0.0)","('BATT_MONITOR', 0.0)","('BCN_LATITUDE', 0.0)","('BATT_SUM_MASK', 0.0)","('BRD_HEAT_IMAX', 0.0)","('BRD_SD_SLOWDOWN', 0.0)","('CAN_P1_DRIVER', 0.0)","('CAM_MIN_INTERVAL', 0.0)","('CAM_RC_BTN_DELAY', 0.0)","('CAN_D1_UC_SRV_BM', 0.0)","('CAN_D2_PROTOCOL', 0.0)","('BATT8_VOLT_MULT', 0.0)","('ATC_THR_MIX_MIN', 0.0)","('ATC_THR_MIX_MIN', 0.0)","('BRD_RTC_TZ_MIN', 0.0)","('BRD_RADIO_TELEM', 0.0)","('ATC_RAT_PIT_FF', 0.0)","('CAN_LOGLEVEL', 0.0)","('BTN_PIN1', 0.0)","('BATT4_CURR_PIN', 0.0)","('TUNE', 0.0)","('RTL_ALT_FINAL', 0.0)","('RCMAP_ROLL', 7.3038283519011316e-06)","('BATT2_I2C_ADDR', 0.0)","('ADSB_LOG', 0.0)"
760,"('CAN_D2_TST_ID', 0.0)","('OSD6_PARAM3_Y', 4.213199433444892e-06)","('OSD4_STATS_X', 4.521810467728038e-06)","('OSD2_FLTMODE_X', 2.1407800625539153e-05)","('BATT7_I2C_ADDR', 0.0)","('BATT_LOW_MAH', 0.0)","('BATT_CAPACITY', 0.0)","('BCN_LONGITUDE', 0.0)","('BATT_CURR_MULT', 0.0)","('BRD_ALT_CONFIG', 0.0)","('BRD_PWM_VOLT_SEL', 0.0)","('CAN_P1_BITRATE', 0.0)","('CAM_FEEDBACK_PIN', 0.0)","('CAM_RC_MDE_DELAY', 0.0)","('CAN_D1_UC_ESC_BM', 0.0)","('CAN_D2_KDE_NPOLE', 0.0)","('BATT8_AMP_PERVLT', 0.0)","('ATC_THR_MIX_MAX', 0.0)","('ATC_THR_MIX_MAX', 0.0)","('BTN_PIN1', 0.0)","('BRD_RADIO_TXPOW', 0.0)","('ATC_RAT_PIT_FLTT', 0.0)","('CAN_D1_PROTOCOL', 0.0)","('BTN_PIN2', 0.0)","('BATT4_VOLT_MULT', 0.0)","('FRAME_TYPE', 0.0)","('RTL_CLIMB_MIN', 0.0)","('SERVO_ROB_POSMAX', 7.287283016688129e-06)","('BATT2_SUM_MASK', 0.0)","('ADSB_OPTIONS', 0.0)"
761,"('CAN_D2_TST_LPR8', 0.0)","('OSD6_PARAM4_Y', 4.213199433444892e-06)","('OSD4_FLTIME_X', 4.521810467728038e-06)","('OSD2_MESSAGE_X', 2.1407800625539153e-05)","('BATT7_FL_VLT_MIN', 0.0)","('BATT_CRT_VOLT', 0.0)","('BATT_SERIAL_NUM', 0.0)","('BCN_ALT', 0.0)","('BATT_FL_VLT_MIN', 0.0)","('BRD_HEAT_LOWMGN', 0.0)","('BRD_OPTIONS', 0.0)","('CAN_P1_FDBITRATE', 0.0)","('CAM_FEEDBACK_POL', 0.0)","('CAM_RC_CONTROL', 0.0)","('CAN_D1_UC_SRV_RT', 0.0)","('CAN_D2_PC_ESC_BM', 0.0)","('BATT8_AMP_OFFSET', 0.0)","('ATC_THR_MIX_MAN', 0.0)","('ATC_THR_MIX_MAN', 0.0)","('BTN_PIN2', 0.0)","('BRD_RADIO_FCCTST', 0.0)","('ATC_RAT_PIT_FLTE', 0.0)","('CAN_D1_KDE_NPOLE', 0.0)","('BTN_PIN3', 0.0)","('BATT4_AMP_PERVLT', 0.0)","('ANGLE_MAX', 0.0)","('RTL_LOIT_TIME', 0.0)","('SERVO_ROB_POSMIN', 7.26632200620525e-06)","('BATT2_CURR_MULT', 0.0)","('AFS_ENABLE', 0.0)"
762,"('CAN_D2_UC_NODE', 0.0)","('OSD6_PARAM5_Y', 4.213199433444892e-06)","('OSD4_CLIMBEFF_X', 4.521810467728038e-06)","('OSD2_GSPEED_X', 2.1407800625539153e-05)","('BATT7_FL_V_MULT', 0.0)","('BATT_CRT_MAH', 0.0)","('BATT_FS_VOLTSRC', 0.0)","('BCN_ORIENT_YAW', 0.0)","('BATT_FL_V_MULT', 0.0)","('BRD_RADIO_TYPE', 0.0)","('BRD_BOOT_DELAY', 0.0)","('CAN_P2_DRIVER', 0.0)","('CAM_AUTO_ONLY', 0.0)","('CAN_LOGLEVEL', 0.0)","('CAN_D1_UC_OPTION', 0.0)","('CAN_D2_PC_ESC_RT', 0.0)","('BATT8_VLT_OFFSET', 0.0)","('ATC_HOVR_ROL_TRM', 0.0)","('ATC_HOVR_ROL_TRM', 0.0)","('BTN_PIN3', 0.0)","('BRD_RADIO_STKMD', 0.0)","('ATC_RAT_PIT_FLTD', 0.0)","('CAN_D1_PC_ESC_BM', 0.0)","('BTN_PIN4', 0.0)","('BATT4_AMP_OFFSET', 0.0)","('FS_EKF_ACTION', 0.0)","('RTL_ALT_TYPE', 0.0)","('RNGFND1_RMETRIC', 7.196973067391532e-06)","('BATT2_FL_VLT_MIN', 0.0)","('AFS_HB_PIN', 0.0)"
763,"('CAN_D2_UC_SRV_BM', 0.0)","('OSD6_PARAM6_Y', 4.213199433444892e-06)","('OSD4_EFF_X', 4.521810467728038e-06)","('OSD2_HORIZON_X', 2.1407800625539153e-05)","('BATT7_FL_FLTR', 0.0)","('BATT_FS_LOW_ACT', 0.0)","('BATT_ARM_VOLT', 0.0)","('BRD_SAFETYENABLE', 0.0)","('BATT_FL_FLTR', 0.0)","('BRD_RADIO_PROT', 0.0)","('BRD_HEAT_P', 0.0)","('CAN_P2_BITRATE', 0.0)","('CAM_TYPE', 0.0)","('CAN_D1_PROTOCOL', 0.0)","('CAN_D1_UC_NTF_RT', 0.0)","('CAN_D2_PC_SRV_BM', 0.0)","('BATT8_I2C_BUS', 0.0)","('ATC_RAT_RLL_ILMI', 0.0)","('ATC_RAT_RLL_ILMI', 0.0)","('BTN_PIN4', 0.0)","('BRD_RADIO_TESTCH', 0.0)","('ATC_RAT_PIT_SMAX', 0.0)","('CAN_D1_PC_ESC_RT', 0.0)","('BTN_REPORT_SEND', 0.0)","('BATT4_VLT_OFFSET', 0.0)","('FS_EKF_THRESH', 0.0)","('FS_GCS_ENABLE', 0.0)","('RNGFND2_RMETRIC', 7.196973067391532e-06)","('BATT2_FL_V_MULT', 0.0)","('AFS_WP_COMMS', 0.0)"
764,"('CAN_D2_UC_ESC_BM', 0.0)","('OSD6_PARAM7_Y', 4.213199433444892e-06)","('OSD4_BTEMP_X', 4.521810467728038e-06)","('OSD2_HOME_X', 2.1407800625539153e-05)","('BATT7_FL_PIN', 0.0)","('BATT_FS_CRT_ACT', 0.0)","('BATT_OPTIONS', 0.0)","('BRD_SBUS_OUT', 0.0)","('BATT_FL_PIN', 0.0)","('BRD_RADIO_DEBUG', 0.0)","('BRD_HEAT_I', 0.0)","('CAN_P2_FDBITRATE', 0.0)","('CAM_RC_TYPE', 0.0)","('CAN_D1_KDE_NPOLE', 0.0)","('CAN_D1_UC_ESC_OF', 0.0)","('CAN_D2_PC_SRV_RT', 0.0)","('BATT8_I2C_ADDR', 0.0)","('ATC_RAT_PIT_ILMI', 0.0)","('ATC_RAT_PIT_ILMI', 0.0)","('BTN_REPORT_SEND', 0.0)","('BRD_RADIO_TSIGCH', 0.0)","('ATC_RAT_YAW_P', 0.0)","('CAN_D1_PC_SRV_BM', 0.0)","('BTN_OPTIONS1', 0.0)","('BATT4_I2C_BUS', 0.0)","('RC_SPEED', 0.0)","('GPS_HDOP_GOOD', 0.0)","('RNGFND3_RMETRIC', 7.196973067391532e-06)","('BATT2_FL_FLTR', 0.0)","('AFS_TERMINATE', 0.0)"
765,"('CAN_D2_UC_SRV_RT', 0.0)","('OSD6_PARAM8_Y', 4.213199433444892e-06)","('OSD4_ATEMP_X', 4.521810467728038e-06)","('OSD2_HEADING_X', 2.1407800625539153e-05)","('BATT8_CAPACITY', 0.0)","('BATT_ARM_VOLT', 0.0)","('BATT_VOLT_PIN', 0.0)","('BRD_SAFETY_MASK', 0.0)","('BCN_TYPE', 0.0)","('BRD_RADIO_DISCRC', 0.0)","('BRD_HEAT_IMAX', 0.0)","('CAN_P3_DRIVER', 0.0)","('CAM_RC_FEATURES', 0.0)","('CAN_D1_PC_ESC_BM', 0.0)","('CAN_D1_UC_POOL', 0.0)","('CAN_D2_TST_ID', 0.0)","('BATT8_SUM_MASK', 0.0)","('ATC_RAT_YAW_ILMI', 0.0)","('ATC_RAT_YAW_ILMI', 0.0)","('BTN_OPTIONS1', 0.0)","('BRD_RADIO_TPPSCH', 0.0)","('ATC_RAT_YAW_I', 0.0)","('CAN_D1_PC_SRV_RT', 0.0)","('BTN_OPTIONS2', 0.0)","('BATT4_I2C_ADDR', 0.0)","('WP_NAVALT_MIN', 0.0)","('WP_YAW_BEHAVIOR', 0.0)","('RNGFND4_RMETRIC', 7.196973067391532e-06)","('BATT2_FL_PIN', 0.0)","('AFS_TERM_ACTION', 0.0)"
766,"('CAN_D2_UC_OPTION', 0.0)","('OSD6_PARAM9_Y', 4.213199433444892e-06)","('OSD4_BAT2_VLT_X', 4.521810467728038e-06)","('OSD2_THROTTLE_X', 2.1407800625539153e-05)","('BATT8_SERIAL_NUM', 0.0)","('BATT_ARM_MAH', 0.0)","('BATT_CURR_PIN', 0.0)","('BRD_HEAT_TARG', 0.0)","('BCN_LATITUDE', 0.0)","('BRD_RADIO_SIGCH', 0.0)","('BRD_HEAT_LOWMGN', 0.0)","('CAN_P3_BITRATE', 0.0)","('CAM_RC_BT_DELAY', 0.0)","('CAN_D1_PC_ESC_RT', 0.0)","('CAN_D2_PROTOCOL', 0.0)","('CAN_D2_TST_LPR8', 0.0)","('BATT8_CURR_MULT', 0.0)","('ATC_PIRO_COMP', 0.0)","('ATC_PIRO_COMP', 0.0)","('BTN_OPTIONS2', 0.0)","('BRD_RADIO_TXMAX', 0.0)","('ATC_RAT_YAW_IMAX', 0.0)","('CAN_D1_TST_ID', 0.0)","('BTN_OPTIONS3', 0.0)","('BATT4_SUM_MASK', 0.0)","('GND_EFFECT_COMP', 0.0)","('LAND_SPEED', 0.0)","('RNGFND5_RMETRIC', 7.196973067391532e-06)","('BATT3_MONITOR', 0.0)","('AFS_TERM_PIN', 0.0)"
767,"('CAN_D2_UC_NTF_RT', 0.0)","('OSD1_ALTITUDE_X', 4.213198917857319e-06)","('OSD4_BAT2USED_X', 4.521810467728038e-06)","('OSD2_COMPASS_X', 2.1407800625539153e-05)","('BATT8_LOW_TIMER', 0.0)","('BATT_OPTIONS', 0.0)","('BATT_VOLT_MULT', 0.0)","('BRD_TYPE', 0.0)","('BCN_LONGITUDE', 0.0)","('BRD_RADIO_PPSCH', 0.0)","('BRD_RADIO_TYPE', 0.0)","('CAN_P3_FDBITRATE', 0.0)","('CAM_RC_BTN_DELAY', 0.0)","('CAN_D1_PC_SRV_BM', 0.0)","('CAN_D2_KDE_NPOLE', 0.0)","('CAN_D2_UC_NODE', 0.0)","('BATT8_FL_VLT_MIN', 0.0)","('AUTOTUNE_AXES', 0.0)","('AUTOTUNE_AXES', 0.0)","('BTN_OPTIONS3', 0.0)","('BRD_RADIO_BZOFS', 0.0)","('ATC_RAT_YAW_D', 0.0)","('CAN_D1_TST_LPR8', 0.0)","('BTN_OPTIONS4', 0.0)","('BATT4_CURR_MULT', 0.0)","('SYSID_ENFORCE', 0.0)","('LAND_SPEED_HIGH', 0.0)","('RNGFND6_RMETRIC', 7.196973067391532e-06)","('BATT3_CAPACITY', 0.0)","('AFS_MAX_COM_LOSS', 0.0)"
768,"('CAN_D2_UC_ESC_OF', 0.0)","('OSD1_BAT_VOLT_X', 4.213198917857319e-06)","('OSD4_ASPD2_X', 4.521810467728038e-06)","('OSD2_WIND_X', 2.1407800625539153e-05)","('BATT8_FS_VOLTSRC', 0.0)","('BATT_VOLT_PIN', 0.0)","('BATT_AMP_PERVLT', 0.0)","('BRD_IO_ENABLE', 0.0)","('BCN_ORIENT_YAW', 0.0)","('BRD_RADIO_TELEM', 0.0)","('BRD_RADIO_PROT', 0.0)","('CAN_SLCAN_CPORT', 0.0)","('CAM_RC_MDE_DELAY', 0.0)","('CAN_D1_PC_SRV_RT', 0.0)","('CAN_D2_PC_ESC_BM', 0.0)","('CAN_D2_UC_SRV_BM', 0.0)","('BATT8_FL_V_MULT', 0.0)","('AUTOTUNE_AGGR', 0.0)","('AUTOTUNE_AGGR', 0.0)","('BTN_OPTIONS4', 0.0)","('BRD_RADIO_ABTIME', 0.0)","('ATC_RAT_YAW_FF', 0.0)","('CAN_D1_UC_NODE', 0.0)","('BTN_FUNC1', 0.0)","('BATT4_FL_VLT_MIN', 0.0)","('FRAME_CLASS', 0.0)","('PILOT_SPEED_UP', 0.0)","('RNGFND7_RMETRIC', 7.196973067391532e-06)","('BATT3_LOW_TIMER', 0.0)","('AFS_GEOFENCE', 0.0)"
769,"('CAN_D2_UC_POOL', 0.0)","('OSD1_RSSI_X', 4.213198917857319e-06)","('OSD4_ASPD1_X', 4.521810467728038e-06)","('OSD2_ASPEED_X', 2.1407800625539153e-05)","('BATT8_LOW_VOLT', 0.0)","('BATT_VOLT_MULT', 0.0)","('BATT_AMP_OFFSET', 0.0)","('BRD_SAFETYOPTION', 0.0)","('BRD_SAFETYENABLE', 0.0)","('BRD_RADIO_TXPOW', 0.0)","('BRD_RADIO_DEBUG', 0.0)","('CAN_SLCAN_SERNUM', 0.0)","('CAM_RC_CONTROL', 0.0)","('CAN_D1_TST_ID', 0.0)","('CAN_D2_PC_ESC_RT', 0.0)","('CAN_D2_UC_ESC_BM', 0.0)","('BATT8_FL_FLTR', 0.0)","('AUTOTUNE_MIN_D', 0.0)","('AUTOTUNE_MIN_D', 0.0)","('BTN_FUNC1', 0.0)","('BRD_RADIO_ABLVL', 0.0)","('ATC_RAT_YAW_FLTT', 0.0)","('CAN_D1_UC_SRV_BM', 0.0)","('BTN_FUNC2', 0.0)","('BATT4_FL_V_MULT', 0.0)","('PILOT_SPEED_DN', 0.0)","('PILOT_ACCEL_Z', 0.0)","('RNGFND8_RMETRIC', 7.196973067391532e-06)","('BATT3_FS_VOLTSRC', 0.0)","('AFS_RC', 0.0)"
770,"('CAN_D3_PROTOCOL', 0.0)","('OSD1_CURRENT_X', 4.213198917857319e-06)","('OSD4_CLK_X', 4.521810467728038e-06)","('OSD2_VSPEED_X', 2.1407800625539153e-05)","('BATT8_LOW_MAH', 0.0)","('BATT_VLT_OFFSET', 0.0)","('BATT_VLT_OFFSET', 0.0)","('BRD_VBUS_MIN', 0.0)","('BRD_SBUS_OUT', 0.0)","('BRD_RADIO_FCCTST', 0.0)","('BRD_RADIO_DISCRC', 0.0)","('CAN_SLCAN_TIMOUT', 0.0)","('CAN_LOGLEVEL', 0.0)","('CAN_D1_TST_LPR8', 0.0)","('CAN_D2_PC_SRV_BM', 0.0)","('CAN_D2_UC_SRV_RT', 0.0)","('BATT8_FL_PIN', 0.0)","('AUTOTUNE_FRQ_MIN', 0.0)","('AUTOTUNE_FRQ_MIN', 0.0)","('BTN_FUNC2', 0.0)","('BRD_RTC_TYPES', 0.0)","('ATC_RAT_YAW_FLTE', 0.0)","('CAN_D1_UC_ESC_BM', 0.0)","('BTN_FUNC3', 0.0)","('BATT4_FL_FLTR', 0.0)","('FS_VIBE_ENABLE', 0.0)","('LOG_BITMASK', 0.0)","('RNGFND9_RMETRIC', 7.196973067391532e-06)","('BATT3_ARM_VOLT', 0.0)","('AHRS_RP_P', 0.0)"
771,"('CAN_D3_KDE_NPOLE', 0.0)","('OSD1_BATUSED_X', 4.213198917857319e-06)","('OSD4_SIDEBARS_X', 4.521810467728038e-06)","('OSD2_ESCTEMP_X', 2.1407800625539153e-05)","('BATT8_CRT_VOLT', 0.0)","('BATT_I2C_BUS', 0.0)","('BATT_I2C_BUS', 0.0)","('BRD_VSERVO_MIN', 0.0)","('BRD_SAFETY_MASK', 0.0)","('BRD_RADIO_TESTCH', 0.0)","('BRD_RADIO_TXPOW', 0.0)","('CAN_SLCAN_SDELAY', 0.0)","('CAN_D1_PROTOCOL', 0.0)","('CAN_D1_UC_NODE', 0.0)","('CAN_D2_PC_SRV_RT', 0.0)","('CAN_D2_UC_OPTION', 0.0)","('BATT9_MONITOR', 0.0)","('AUTOTUNE_FRQ_MAX', 0.0)","('AUTOTUNE_FRQ_MAX', 0.0)","('BTN_FUNC3', 0.0)","('BRD_RTC_TZ_MIN', 0.0)","('ATC_RAT_YAW_FLTD', 0.0)","('CAN_D1_UC_SRV_RT', 0.0)","('BTN_FUNC4', 0.0)","('BATT4_FL_PIN', 0.0)","('FS_OPTIONS', 0.0)","('TUNE', 0.0)","('RNGFNDA_RMETRIC', 7.196973067391532e-06)","('BATT3_OPTIONS', 0.0)","('AHRS_TRIM_Z', 0.0)"
772,"('CAN_D3_PC_ESC_BM', 0.0)","('OSD1_SATS_X', 4.213198917857319e-06)","('OSD4_HOMEDIR_X', 4.521810467728038e-06)","('OSD2_ESCRPM_X', 2.1407800625539153e-05)","('BATT8_CRT_MAH', 0.0)","('BATT_I2C_ADDR', 0.0)","('BATT_I2C_ADDR', 0.0)","('BRD_PWM_VOLT_SEL', 0.0)","('BRD_HEAT_TARG', 0.0)","('BRD_RADIO_TSIGCH', 0.0)","('BRD_RADIO_FCCTST', 0.0)","('CHUTE_ENABLED', 0.0)","('CAN_D1_KDE_NPOLE', 0.0)","('CAN_D1_UC_SRV_BM', 0.0)","('CAN_D2_TST_ID', 0.0)","('CAN_D2_UC_NTF_RT', 0.0)","('BATT9_CAPACITY', 0.0)","('AUTOTUNE_GN_MAX', 0.0)","('AUTOTUNE_GN_MAX', 0.0)","('BTN_FUNC4', 0.0)","('BTN_ENABLE', 0.0)","('ATC_RAT_YAW_SMAX', 0.0)","('CAN_D1_UC_OPTION', 0.0)","('CAM_TRIGG_TYPE', 0.0)","('BATT5_MONITOR', 0.0)","('FS_GCS_TIMEOUT', 0.0)","('FRAME_TYPE', 0.0)","('INS_HNTC2_HMNCS', 7.025438368613024e-06)","('BATT3_VOLT_PIN', 0.0)","('AHRS_EKF_TYPE', 0.0)"
773,"('CAN_D3_PC_ESC_RT', 0.0)","('OSD1_FLTMODE_X', 4.213198917857319e-06)","('OSD4_POWER_X', 4.521810467728038e-06)","('OSD2_ESCAMPS_X', 2.1407800625539153e-05)","('BATT8_FS_LOW_ACT', 0.0)","('BATT_FL_VLT_MIN', 0.0)","('BATT_SUM_MASK', 0.0)","('BRD_OPTIONS', 0.0)","('BRD_TYPE', 0.0)","('BRD_RADIO_TPPSCH', 0.0)","('BRD_RADIO_TESTCH', 0.0)","('CHUTE_TYPE', 0.0)","('CAN_D1_PC_ESC_BM', 0.0)","('CAN_D1_UC_ESC_BM', 0.0)","('CAN_D2_TST_LPR8', 0.0)","('CAN_D2_UC_ESC_OF', 0.0)","('BATT9_SERIAL_NUM', 0.0)","('AVD_ENABLE', 0.0)","('AVD_ENABLE', 0.0)","('CAM_TRIGG_TYPE', 0.0)","('BTN_PIN1', 0.0)","('ATC_THR_MIX_MIN', 0.0)","('CAN_D1_UC_NTF_RT', 0.0)","('CAM_DURATION', 0.0)","('BATT5_CAPACITY', 0.0)","('RNGFND_FILT', 0.0)","('DISARM_DELAY', 0.0)","('INS_HNTCH_HMNCS', 7.025438368613024e-06)","('BATT3_CURR_PIN', 0.0)","('AHRS_CUSTOM_ROLL', 0.0)"
