id,name,description,1:enumVals,1:minValue,1:maxValue,1:increment,1:empty/reserved,1:description,2:enumVals,2:minValue,2:maxValue,2:increment,2:empty/reserved,2:description,3:enumVals,3:minValue,3:maxValue,3:increment,3:empty/reserved,3:description,4:enumVals,4:minValue,4:maxValue,4:increment,4:empty/reserved,4:description,5:enumVals,5:minValue,5:maxValue,5:increment,5:empty/reserved,5:description,6:enumVals,6:minValue,6:maxValue,6:increment,6:empty/reserved,6:description,7:enumVals,7:minValue,7:maxValue,7:increment,7:empty/reserved,7:description
30,MAV_CMD_NAV_CONTINUE_AND_CHANGE_ALT,"Continue on the current course and climb/descend to specified altitude.  When the altitude is reached continue to the next command (i.e., don't proceed to the next command until the desired altitude is reached.",,0,2,1,no,"Climb or Descend (0 = Neutral, command completes when within 5m of this command's altitude, 1 = Climbing, command completes when at or above this command's altitude, 2 = Descending, command completes when at or below this command's altitude.",,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,no,Desired altitude
31,MAV_CMD_NAV_LOITER_TO_ALT,"Begin loiter at the specified Latitude and Longitude.  If Lat=Lon=0, then loiter at the current position.  Don't consider the navigation command complete (don't leave loiter) until the altitude has been reached. Additionally, if the Heading Required parameter is non-zero the aircraft will not leave the loiter until heading toward the next waypoint.",,0,1,1,no,Leave loiter circle only once heading towards the next waypoint (0 = False),,,,,no,"Loiter radius around waypoint for forward-only moving vehicles (not multicopters). If positive loiter clockwise, negative counter-clockwise, 0 means no change to standard loiter.",,,,,yes,Empty,,0,1,1,no,"Loiter circle exit location and/or path to next waypoint (""xtrack"") for forward-only moving vehicles (not multicopters). 0 for the vehicle to converge towards the center xtrack when it leaves the loiter (the line between the centers of the current and next waypoint), 1 to converge to the direct line between the location that the vehicle exits the loiter radius and the next waypoint. Otherwise the angle (in degrees) between the tangent of the loiter circle and the center xtrack at which the vehicle must leave the loiter (and converge to the center xtrack). NaN to use the current system default xtrack behaviour.",,,,,no,Latitude,,,,,no,Longitude,,,,,no,Altitude
32,MAV_CMD_DO_FOLLOW,Begin following a target,,0,255,1,no,System ID (of the FOLLOW_TARGET beacon). Send 0 to disable follow-me and return to the default position hold mode.,,,,,yes,Reserved,,,,,yes,Reserved,,0,2,1,no,"Altitude mode: 0: Keep current altitude, 1: keep altitude difference to target, 2: go to a fixed altitude above home.",,,,,no,Altitude above home. (used if mode=2),,,,,yes,Reserved,,0,,,no,Time to land in which the MAV should go to the default position hold mode after a message RX timeout.
33,MAV_CMD_DO_FOLLOW_REPOSITION,Reposition the MAV after a follow target command has been sent,,,,,no,Camera q1 (where 0 is on the ray from the camera to the tracking device),,,,,no,Camera q2,,,,,no,Camera q3,,,,,no,Camera q4,,,,,no,altitude offset from target,,,,,no,X offset from target,,,,,no,Y offset from target
34,MAV_CMD_DO_ORBIT,Start orbiting on the circumference of a circle defined by the parameters. Setting values to NaN/INT32_MAX (as appropriate) results in using defaults.,,,,,no,"Radius of the circle. Positive: orbit clockwise. Negative: orbit counter-clockwise. NaN: Use vehicle default radius, or current radius if already orbiting.",,,,,no,"Tangential Velocity. NaN: Use vehicle default velocity, or current velocity if already orbiting.",0|1|2|3|4,,,,no,Yaw behavior of the vehicle.,,0,,,no,"Orbit around the centre point for this many radians (i.e. for a three-quarter orbit set 270*Pi/180). 0: Orbit forever. NaN: Use vehicle default, or current value if already orbiting.",,,,,no,"Center point latitude (if no MAV_FRAME specified) / X coordinate according to MAV_FRAME. INT32_MAX (or NaN if sent in COMMAND_LONG): Use current vehicle position, or current center if already orbiting.",,,,,no,"Center point longitude (if no MAV_FRAME specified) / Y coordinate according to MAV_FRAME. INT32_MAX (or NaN if sent in COMMAND_LONG): Use current vehicle position, or current center if already orbiting.",,,,,no,Center point altitude (MSL) (if no MAV_FRAME specified) / Z coordinate according to MAV_FRAME. NaN: Use current vehicle altitude.
80,MAV_CMD_NAV_ROI,Sets the region of interest (ROI) for a sensor set or the vehicle itself. This can then be used by the vehicle's control system to control the vehicle attitude and the attitude of various sensors such as cameras.,0|1|2|3|4,,,,no,Region of interest mode.,,0,,1,no,Waypoint index/ target ID. (see MAV_ROI enum),,0,,1,no,ROI index (allows a vehicle to manage multiple ROI's),,,,,yes,Empty,,,,,no,x the location of the fixed ROI (see MAV_FRAME),,,,,no,y,,,,,no,z
81,MAV_CMD_NAV_PATHPLANNING,Control autonomous path planning on the MAV.,,0,2,1,no,"0: Disable local obstacle avoidance / local path planning (without resetting map), 1: Enable local path planning, 2: Enable and reset local path planning",,0,3,1,no,"0: Disable full path planning (without resetting map), 1: Enable, 2: Enable and reset map/occupancy grid, 3: Enable and reset planned route, but not occupancy grid",,,,,yes,Empty,,,,,no,Yaw angle at goal,,,,,no,Latitude/X of goal,,,,,no,Longitude/Y of goal,,,,,no,Altitude/Z of goal
82,MAV_CMD_NAV_SPLINE_WAYPOINT,Navigate to waypoint using a spline path.,,0,,,no,"Hold time. (ignored by fixed wing, time to stay at waypoint for rotary wing)",,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,no,Latitude/X of goal,,,,,no,Longitude/Y of goal,,,,,no,Altitude/Z of goal
84,MAV_CMD_NAV_VTOL_TAKEOFF,"Takeoff from ground using VTOL mode, and transition to forward flight with specified heading. The command should be ignored by vehicles that dont support both VTOL and fixed-wing flight (multicopters, boats,etc.).",,,,,yes,Empty,0|1|2|3|4,,,,no,Front transition heading.,,,,,yes,Empty,,,,,no,"Yaw angle. NaN to use the current system yaw heading mode (e.g. yaw towards next waypoint, yaw to home, etc.).",,,,,no,Latitude,,,,,no,Longitude,,,,,no,Altitude
85,MAV_CMD_NAV_VTOL_LAND,Land using VTOL mode,0|1|2,,,,no,Landing behaviour.,,,,,yes,Empty,,,,,no,Approach altitude (with the same reference as the Altitude field). NaN if unspecified.,,,,,no,"Yaw angle. NaN to use the current system yaw heading mode (e.g. yaw towards next waypoint, yaw to home, etc.).",,,,,no,Latitude,,,,,no,Longitude,,,,,no,Altitude (ground level) relative to the current coordinate frame. NaN to use system default landing altitude (ignore value).
92,MAV_CMD_NAV_GUIDED_ENABLE,hand control over to an external controller,,0,1,1,no,On / Off (> 0.5f on),,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
93,MAV_CMD_NAV_DELAY,Delay the next navigation command a number of seconds or until a specified time,,-1,,1,no,Delay (-1 to enable time-of-day fields),,-1,23,1,no,"hour (24h format, UTC, -1 to ignore)",,-1,59,1,no,"minute (24h format, UTC, -1 to ignore)",,-1,59,1,no,"second (24h format, UTC, -1 to ignore)",,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
94,MAV_CMD_NAV_PAYLOAD_PLACE,"Descend and place payload. Vehicle moves to specified location, descends until it detects a hanging payload has reached the ground, and then releases the payload. If ground is not detected before the reaching the maximum descent value (param1), the command will complete without releasing the payload.",,0,,,no,Maximum distance to descend.,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,no,Latitude,,,,,no,Longitude,,,,,no,Altitude
95,MAV_CMD_NAV_LAST,NOP - This command is only used to mark the upper limit of the NAV/ACTION commands in the enumeration,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
112,MAV_CMD_CONDITION_DELAY,Delay mission state machine.,,0,,,no,Delay,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
113,MAV_CMD_CONDITION_CHANGE_ALT,Ascend/descend to target altitude at specified rate. Delay mission state machine until desired altitude reached.,,,,,no,Descent / Ascend rate.,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,no,Target Altitude
114,MAV_CMD_CONDITION_DISTANCE,Delay mission state machine until within desired distance of next NAV point.,,0,,,no,Distance.,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
115,MAV_CMD_CONDITION_YAW,Reach a certain target angle.,,,,,no,"target angle, 0 is north",,,,,no,angular speed,,-1,1,2,no,"direction: -1: counter clockwise, 1: clockwise",,0,1,1,no,"0: absolute angle, 1: relative offset",,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
159,MAV_CMD_CONDITION_LAST,NOP - This command is only used to mark the upper limit of the CONDITION commands in the enumeration,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
176,MAV_CMD_DO_SET_MODE,Set system mode.,0|80|208|64|192|88|216|92|220|66|194,,,,no,Mode,,,,,no,"Custom mode - this is system specific, please refer to the individual autopilot specifications for details.",,,,,no,"Custom sub mode - this is system specific, please refer to the individual autopilot specifications for details.",,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
177,MAV_CMD_DO_JUMP,Jump to the desired command in the mission list.  Repeat this action only the specified number of times,,0,,1,no,Sequence number,,0,,1,no,Repeat count,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
178,MAV_CMD_DO_CHANGE_SPEED,Change speed and/or throttle set points.,,0,3,1,no,"Speed type (0=Airspeed, 1=Ground Speed, 2=Climb Speed, 3=Descent Speed)",,-1,,,no,Speed (-1 indicates no change),,-1,,,no,Throttle (-1 indicates no change),,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
179,MAV_CMD_DO_SET_HOME,"
          Sets the home position to either to the current position or a specified position.
          The home position is the default position that the system will return to and land on.
          The position is set automatically by the system during the takeoff (and may also be set using this command).
          Note: the current home position may be emitted in a HOME_POSITION message on request (using MAV_CMD_REQUEST_MESSAGE with param1=242).      
        ",,0,1,1,no,"Use current (1=use current location, 0=use specified location)",,,,,yes,Empty,,,,,yes,Empty,,,,,no,Yaw angle. NaN to use default heading,,,,,no,Latitude,,,,,no,Longitude,,,,,no,Altitude
180,MAV_CMD_DO_SET_PARAMETER,Set a system parameter.  Caution!  Use of this command requires knowledge of the numeric enumeration value of the parameter.,,0,,1,no,Parameter number,,,,,no,Parameter value,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
181,MAV_CMD_DO_SET_RELAY,Set a relay to a condition.,,0,,1,no,Relay instance number.,,0,,1,no,"Setting. (1=on, 0=off, others possible depending on system hardware)",,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
182,MAV_CMD_DO_REPEAT_RELAY,Cycle a relay on and off for a desired number of cycles with a desired period.,,0,,1,no,Relay instance number.,,1,,1,no,Cycle count.,,0,,,no,Cycle time.,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
183,MAV_CMD_DO_SET_SERVO,Set a servo to a desired PWM value.,,0,,1,no,Servo instance number.,,0,,1,no,Pulse Width Modulation.,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
184,MAV_CMD_DO_REPEAT_SERVO,Cycle a between its nominal setting and a desired PWM for a desired number of cycles with a desired period.,,0,,1,no,Servo instance number.,,0,,1,no,Pulse Width Modulation.,,1,,1,no,Cycle count.,,0,,,no,Cycle time.,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
185,MAV_CMD_DO_FLIGHTTERMINATION,"Terminate flight immediately.
          Flight termination immediately and irreversably terminates the current flight, returning the vehicle to ground.
          The vehicle will ignore RC or other input until it has been power-cycled.
          Termination may trigger safety measures, including: disabling motors and deployment of parachute on multicopters, and setting flight surfaces to initiate a landing pattern on fixed-wing).
          On multicopters without a parachute it may trigger a crash landing.
          Support for this command can be tested using the protocol bit: MAV_PROTOCOL_CAPABILITY_FLIGHT_TERMINATION.
          Support for this command can also be tested by sending the command with param1=0 (< 0.5); the ACK should be either MAV_RESULT_FAILED or MAV_RESULT_UNSUPPORTED.
        ",,0,1,1,no,Flight termination activated if > 0.5. Otherwise not activated and ACK with MAV_RESULT_FAILED.,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
186,MAV_CMD_DO_CHANGE_ALTITUDE,Change altitude set point.,,,,,no,Altitude.,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21,,,,no,Frame of new altitude.,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
187,MAV_CMD_DO_SET_ACTUATOR,Sets actuators (e.g. servos) to a desired value. The actuator numbers are mapped to specific outputs (e.g. on any MAIN or AUX PWM or UAVCAN) using a flight-stack specific mechanism (i.e. a parameter).,,-1,1,,no,"Actuator 1 value, scaled from [-1 to 1]. NaN to ignore.",,-1,1,,no,"Actuator 2 value, scaled from [-1 to 1]. NaN to ignore.",,-1,1,,no,"Actuator 3 value, scaled from [-1 to 1]. NaN to ignore.",,-1,1,,no,"Actuator 4 value, scaled from [-1 to 1]. NaN to ignore.",,-1,1,,no,"Actuator 5 value, scaled from [-1 to 1]. NaN to ignore.",,-1,1,,no,"Actuator 6 value, scaled from [-1 to 1]. NaN to ignore.",,0,,1,no,"Index of actuator set (i.e if set to 1, Actuator 1 becomes Actuator 7)"
189,MAV_CMD_DO_LAND_START,"Mission command to perform a landing. This is used as a marker in a mission to tell the autopilot where a sequence of mission items that represents a landing starts. It may also be sent via a COMMAND_LONG to trigger a landing, in which case the nearest (geographically) landing sequence in the mission will be used. The Latitude/Longitude is optional, and may be set to 0 if not needed. If specified then it will be used to help find the closest landing sequence.",,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,no,Latitude,,,,,no,Longitude,,,,,yes,Empty
190,MAV_CMD_DO_RALLY_LAND,Mission command to perform a landing from a rally point.,,,,,no,Break altitude,,,,,no,Landing speed,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
191,MAV_CMD_DO_GO_AROUND,Mission command to safely abort an autonomous landing.,,,,,no,Altitude,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
192,MAV_CMD_DO_REPOSITION,Reposition the vehicle to a specific WGS84 global position.,,-1,,,no,"Ground speed, less than 0 (-1) for default",1,,,,no,Bitmask of option flags.,,,,,no,"Loiter radius for planes. Positive values only, direction is controlled by Yaw value. A value of zero or NaN is ignored. ",,,,,no,"Yaw heading. NaN to use the current system yaw heading mode (e.g. yaw towards next waypoint, yaw to home, etc.). For planes indicates loiter direction (0: clockwise, 1: counter clockwise)",,,,,no,Latitude,,,,,no,Longitude,,,,,no,Altitude
193,MAV_CMD_DO_PAUSE_CONTINUE,"If in a GPS controlled position mode, hold the current position or continue.",,0,1,1,no,"0: Pause current mission or reposition command, hold current position. 1: Continue mission. A VTOL capable vehicle should enter hover mode (multicopter and VTOL planes). A plane should loiter with the default loiter radius.",,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved
194,MAV_CMD_DO_SET_REVERSE,Set moving direction to forward or reverse.,,0,1,1,no,"Direction (0=Forward, 1=Reverse)",,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
195,MAV_CMD_DO_SET_ROI_LOCATION,Sets the region of interest (ROI) to a location. This can then be used by the vehicle's control system to control the vehicle attitude and the attitude of various sensors such as cameras. This command can be sent to a gimbal manager but not to a gimbal device. A gimbal is not to react to this message.,,,,,no,"Component ID of gimbal device to address (or 1-6 for non-MAVLink gimbal), 0 for all gimbal device components. Send command multiple times for more than one gimbal (but not all gimbals).",,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,no,Latitude of ROI location,,,,,no,Longitude of ROI location,,,,,no,Altitude of ROI location
196,MAV_CMD_DO_SET_ROI_WPNEXT_OFFSET,"Sets the region of interest (ROI) to be toward next waypoint, with optional pitch/roll/yaw offset. This can then be used by the vehicle's control system to control the vehicle attitude and the attitude of various sensors such as cameras. This command can be sent to a gimbal manager but not to a gimbal device. A gimbal device is not to react to this message.",,,,,no,"Component ID of gimbal device to address (or 1-6 for non-MAVLink gimbal), 0 for all gimbal device components. Send command multiple times for more than one gimbal (but not all gimbals).",,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,no,"Pitch offset from next waypoint, positive pitching up",,,,,no,"Roll offset from next waypoint, positive rolling to the right",,,,,no,"Yaw offset from next waypoint, positive yawing to the right"
197,MAV_CMD_DO_SET_ROI_NONE,"Cancels any previous ROI command returning the vehicle/sensors to default flight characteristics. This can then be used by the vehicle's control system to control the vehicle attitude and the attitude of various sensors such as cameras. This command can be sent to a gimbal manager but not to a gimbal device. A gimbal device is not to react to this message. After this command the gimbal manager should go back to manual input if available, and otherwise assume a neutral position.",,,,,no,"Component ID of gimbal device to address (or 1-6 for non-MAVLink gimbal), 0 for all gimbal device components. Send command multiple times for more than one gimbal (but not all gimbals).",,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
198,MAV_CMD_DO_SET_ROI_SYSID,Mount tracks system with specified system ID. Determination of target vehicle position may be done with GLOBAL_POSITION_INT or any other means. This command can be sent to a gimbal manager but not to a gimbal device. A gimbal device is not to react to this message.,,1,255,1,no,System ID,,,,,no,"Component ID of gimbal device to address (or 1-6 for non-MAVLink gimbal), 0 for all gimbal device components. Send command multiple times for more than one gimbal (but not all gimbals).",,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
200,MAV_CMD_DO_CONTROL_VIDEO,Control onboard camera system.,,-1,,1,no,Camera ID (-1 for all),,0,2,1,no,"Transmission: 0: disabled, 1: enabled compressed, 2: enabled raw",,0,,,no,"Transmission mode: 0: video stream, >0: single images every n seconds",,0,2,1,no,"Recording: 0: disabled, 1: enabled compressed, 2: enabled raw",,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
201,MAV_CMD_DO_SET_ROI,Sets the region of interest (ROI) for a sensor set or the vehicle itself. This can then be used by the vehicle's control system to control the vehicle attitude and the attitude of various sensors such as cameras.,0|1|2|3|4,,,,no,Region of interest mode.,,0,,1,no,Waypoint index/ target ID (depends on param 1).,,0,,1,no,Region of interest index. (allows a vehicle to manage multiple ROI's),,,,,yes,Empty,,,,,no,"MAV_ROI_WPNEXT: pitch offset from next waypoint, MAV_ROI_LOCATION: latitude",,,,,no,"MAV_ROI_WPNEXT: roll offset from next waypoint, MAV_ROI_LOCATION: longitude",,,,,no,"MAV_ROI_WPNEXT: yaw offset from next waypoint, MAV_ROI_LOCATION: altitude"
202,MAV_CMD_DO_DIGICAM_CONFIGURE,Configure digital camera. This is a fallback message for systems that have not yet implemented PARAM_EXT_XXX messages and camera definition files (see https://mavlink.io/en/services/camera_def.html ).,,0,,1,no,"Modes: P, TV, AV, M, Etc.",,0,,1,no,Shutter speed: Divisor number for one second.,,0,,,no,Aperture: F stop number.,,0,,1,no,"ISO number e.g. 80, 100, 200, Etc.",,,,,no,Exposure type enumerator.,,,,,no,Command Identity.,,0,,1,no,Main engine cut-off time before camera trigger. (0 means no cut-off)
203,MAV_CMD_DO_DIGICAM_CONTROL,Control digital camera. This is a fallback message for systems that have not yet implemented PARAM_EXT_XXX messages and camera definition files (see https://mavlink.io/en/services/camera_def.html ).,,,,,no,Session control e.g. show/hide lens,,,,,no,Zoom's absolute position,,,,,no,Zooming step value to offset zoom from the current position,,,,,no,"Focus Locking, Unlocking or Re-locking",,,,,no,Shooting Command,,,,,no,Command Identity,,,,,no,"Test shot identifier. If set to 1, image will only be captured, but not counted towards internal frame count."
204,MAV_CMD_DO_MOUNT_CONFIGURE,Mission command to configure a camera or antenna mount,0|1|2|3|4|5|6,,,,no,Mount operation mode,,0,1,1,no,"stabilize roll? (1 = yes, 0 = no)",,0,1,1,no,"stabilize pitch? (1 = yes, 0 = no)",,0,1,1,no,"stabilize yaw? (1 = yes, 0 = no)",,,,,no,"roll input (0 = angle body frame, 1 = angular rate, 2 = angle absolute frame)",,,,,no,"pitch input (0 = angle body frame, 1 = angular rate, 2 = angle absolute frame)",,,,,no,"yaw input (0 = angle body frame, 1 = angular rate, 2 = angle absolute frame)"
205,MAV_CMD_DO_MOUNT_CONTROL,Mission command to control a camera or antenna mount,,,,,no,pitch depending on mount mode (degrees or degrees/second depending on pitch input).,,,,,no,roll depending on mount mode (degrees or degrees/second depending on roll input).,,,,,no,yaw depending on mount mode (degrees or degrees/second depending on yaw input).,,,,,no,altitude depending on mount mode.,,,,,no,"latitude, set if appropriate mount mode.",,,,,no,"longitude, set if appropriate mount mode.",0|1|2|3|4|5|6,,,,no,Mount mode.
206,MAV_CMD_DO_SET_CAM_TRIGG_DIST,Mission command to set camera trigger distance for this flight. The camera is triggered each time this distance is exceeded. This command can also be used to set the shutter integration time for the camera.,,0,,,no,Camera trigger distance. 0 to stop triggering.,,-1,,1,no,Camera shutter integration time. -1 or 0 to ignore,,0,1,1,no,"Trigger camera once immediately. (0 = no trigger, 1 = trigger)",,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
207,MAV_CMD_DO_FENCE_ENABLE,Mission command to enable the geofence,,0,2,1,no,"enable? (0=disable, 1=enable, 2=disable_floor_only)",,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
208,MAV_CMD_DO_PARACHUTE,Mission item/command to release a parachute or enable/disable auto release.,0|1|2,,,,no,Action,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
